iteration,time,bestobj
319,2.88367,24939
320,2.89047,24939
321,2.89714,24939
322,2.90377,24939
323,2.91057,24939
324,2.91724,24939
325,2.9241,24939
326,2.93118,24939
327,2.93768,24939
328,2.94437,24939
329,2.95115,24939
330,2.95777,24939
331,2.96441,24939
332,2.97139,24939
333,2.97806,24939
334,2.98473,24939
335,2.99151,24939
336,2.99824,24939
337,3.00514,24939
338,3.01205,24939
339,3.02013,24939
340,3.02744,24939
341,3.0353,24939
342,3.04253,24939
343,3.05047,24939
344,3.05778,24939
345,3.06504,24939
346,3.07349,24939
347,3.08079,24939
348,3.08868,24939
349,3.09614,24939
350,3.10468,24939
351,3.11237,24939
352,3.12003,24939
353,3.12746,24939
354,3.14004,24939
355,3.14796,24939
356,3.15702,24939
357,3.16461,24939
358,3.1719,24939
359,3.17968,24939
360,3.18703,24939
361,3.19438,24939
362,3.20133,24939
363,3.20842,24939
364,3.21516,24939
365,3.22468,24939
366,3.23216,24939
367,3.23911,24939
368,3.24652,24939
369,3.25355,24939
370,3.26049,24939
371,3.26777,24939
372,3.27508,24939
373,3.28185,24939
374,3.28869,24939
375,3.29561,24939
376,3.30249,24939
377,3.30934,24939
378,3.31649,24939
379,3.32319,24939
380,3.33012,24939
381,3.33734,24939
382,3.34411,24939
383,3.3513,24939
384,3.35816,24939
385,3.36524,24939
386,3.37189,24939
387,3.37874,24939
388,3.38548,24939
389,3.3926,24939
390,3.39941,24939
391,3.40631,24939
392,3.41311,24939
393,3.41995,24939
394,3.42696,24939
395,3.43368,24939
396,3.44049,24939
397,3.44748,24939
398,3.45417,24939
399,3.46082,24939
400,3.46782,24939
401,3.47459,24939
402,3.48128,24939
403,3.48817,24939
404,3.49497,24939
405,3.50165,24939
406,3.50845,24939
407,3.51546,24939
408,3.52198,24939
409,3.52873,24939
410,3.53545,24939
411,3.54249,24939
412,3.54927,24939
413,3.55592,24939
414,3.56298,24939
415,3.56974,24939
416,3.57653,24939
417,3.58342,24939
418,3.59016,24939
419,3.59733,24939
420,3.60418,24939
421,3.61126,24939
422,3.61804,24939
423,3.62472,24939
424,3.6323,24939
425,3.64104,24939
426,3.64921,24939
427,3.65993,24939
428,3.66748,24939
429,3.6765,24939
